  Words          P(PERSON)  P(O)
----------------------------------------
  Vax             0.0749   0.9251
  Peter           0.7401   0.2599
  :               0.2346   0.7654
  Prince          0.1641   0.8359
  Harry           0.3642   0.6358
  makes           0.0138   0.9862
  vaccine         0.0246   0.9754
  plea            0.0246   0.9754
  at              0.0153   0.9847
  concert         0.0157   0.9843
  in              0.0153   0.9847
  LA              0.0282   0.9718
  .               0.0151   0.9849
  Prince          0.1641   0.8359
  Harry           0.3642   0.6358
  spoke           0.2009   0.7991
  to              0.0154   0.9846
  a               0.0156   0.9844
  crowd           0.0157   0.9843
  of              0.0002   0.9998
  fully           0.0157   0.9843
  vaccinated      0.0246   0.9754
  guests          0.0157   0.9843
  at              0.0153   0.9847
  the             0.0001   0.9999
  Vax             0.0749   0.9251
  Live            0.0749   0.9251
  concert         0.0157   0.9843
  in              0.0153   0.9847
  Los             0.0566   0.9434
  Angeles         0.0849   0.9151
  .               0.0151   0.9849
  The             0.0157   0.9843
  Duke            0.3642   0.6358
  of              0.0029   0.9971
  Sussex          0.0533   0.9467
  has             0.0138   0.9862
  called          0.0135   0.9865
  for             0.0154   0.9846
  vaccines        0.0246   0.9754
  to              0.0154   0.9846
  be              0.0157   0.9843
  ``              0.0246   0.9754
  distributed     0.0157   0.9843
  to              0.0154   0.9846
  everyone        0.0157   0.9843
  everywhere      0.0246   0.9754
  ''              0.0246   0.9754
  at              0.0153   0.9847
  a               0.0156   0.9844
  star-studded    0.0246   0.9754
  charity         0.0157   0.9843
  concert         0.0157   0.9843
  in              0.0153   0.9847
  Los             0.0566   0.9434
  Angeles         0.0849   0.9151
  .               0.0151   0.9849
  Prince          0.3861   0.6139
  Harry           0.3642   0.6358
  appeared        0.2362   0.7638
  alongside       0.0157   0.9843
  dozens          0.0157   0.9843
  of              0.0002   0.9998
  celebrities     0.0246   0.9754
  at              0.0153   0.9847
  the             0.0001   0.9999
  Vax             0.0749   0.9251
  Live            0.0749   0.9251
  event           0.0157   0.9843
  ,               0.0134   0.9866
  a               0.0156   0.9844
  charity         0.0157   0.9843
  performance     0.0157   0.9843
  in              0.0153   0.9847
  aid             0.0157   0.9843
  of              0.0002   0.9998
  the             0.0001   0.9999
  international   0.0157   0.9843
  Covid           0.0749   0.9251
  vaccination     0.0246   0.9754
  effort          0.0157   0.9843
  .               0.0151   0.9849
  Hosted          0.0246   0.9754
  by              0.0155   0.9845
  the             0.0022   0.9978
  singer          0.0157   0.9843
  Selena          0.3642   0.6358
  Gomez           0.4734   0.5266
  ,               0.0134   0.9866
  the             0.0001   0.9999
  concert         0.0157   0.9843
  -               0.0155   0.9845
  to              0.0154   0.9846
  be              0.0157   0.9843
  aired           0.0246   0.9754
  on              0.0153   0.9847
  Saturday        0.0568   0.9432
  -               0.0155   0.9845
  featured        0.0157   0.9843
  performances    0.0157   0.9843
