  Words          P(PERSON)  P(O)   CLASS
----------------------------------------
  The             0.0029   0.9971   O
  UK              0.0188   0.9812   O
  and             0.0029   0.9971   O
  Iran            0.0846   0.9154   O
  are             0.0029   0.9971   O
  in              0.0029   0.9971   O
  discussions     0.0029   0.9971   O
  over            0.0029   0.9971   O
  a               0.0029   0.9971   O
  £400m           0.0031   0.9969   O
  debt            0.0029   0.9971   O
  that            0.0029   0.9971   O
  the             0.0002   0.9998   O
  UK              0.0188   0.9812   O
  owes            0.0031   0.9969   O
  ,               0.0028   0.9972   O
  foreign         0.0029   0.9971   O
  office          0.0029   0.9971   O
  minister        0.0029   0.9971   O
  James           0.6526   0.3474   PERSON
  Cleverly        0.7256   0.2744   PERSON
  has             0.0099   0.9901   O
  said            0.0028   0.9972   O
  -               0.0029   0.9971   O
  but             0.0029   0.9971   O
  the             0.0002   0.9998   O
  talks           0.0029   0.9971   O
  are             0.0029   0.9971   O
  not             0.0029   0.9971   O
  linked          0.0029   0.9971   O
  to              0.0029   0.9971   O
  the             0.0002   0.9998   O
  detention       0.0029   0.9971   O
  of              0.0003   0.9997   O
  Nazanin         0.6989   0.3011   PERSON
  Zaghari-Ratcliffe 0.5455   0.4545   PERSON
  .               0.0099   0.9901   O
  The             0.0029   0.9971   O
  UK              0.0188   0.9812   O
  owes            0.0031   0.9969   O
  the             0.0002   0.9998   O
  money           0.0029   0.9971   O
  for             0.0029   0.9971   O
  failing         0.0029   0.9971   O
  to              0.0029   0.9971   O
  deliver         0.0029   0.9971   O
  tanks           0.0029   0.9971   O
  Iran            0.0846   0.9154   O
  bought          0.0029   0.9971   O
  in              0.0029   0.9971   O
  the             0.0002   0.9998   O
  1970s           0.0029   0.9971   O
  .               0.0029   0.9971   O
  British-Iranian 0.0031   0.9969   O
  national        0.0029   0.9971   O
  Mrs             0.0848   0.9152   O
  Zaghari-Ratcliffe 0.4803   0.5197   O
  ,               0.0028   0.9972   O
  who             0.0029   0.9971   O
  is              0.0028   0.9972   O
  in              0.0029   0.9971   O
  jail            0.0029   0.9971   O
  in              0.0029   0.9971   O
  Iran            0.0846   0.9154   O
  ,               0.0028   0.9972   O
  believes        0.0029   0.9971   O
  she             0.0029   0.9971   O
  has             0.0028   0.9972   O
  been            0.0029   0.9971   O
  imprisoned      0.0029   0.9971   O
  as              0.0029   0.9971   O
  leverage        0.0031   0.9969   O
  for             0.0029   0.9971   O
  the             0.0006   0.9994   O
